"","Item_5","Item_6","Item_7","Item_8","Item_17","Item_18","Item_19","Item_20","Item_29","Item_30","Item_31","Item_32","Item_9","Item_10","Item_11","Item_12","Item_21","Item_22","Item_23","Item_24","Item_33","Item_34","Item_35","Item_36","Item_13","Item_14","Item_15","Item_16","Item_25","Item_26","Item_27","Item_28","Item_1","Item_2","Item_3","Item_4"
"Item_5",1,0.363922590209887,0.297198700924647,0.52152080079155,0.387666872365908,0.524944206784237,0.3358298177148,0.243938021021818,0.364759322506754,0.196402434287397,0.310828031677457,0.428067338253334,0.189778238127023,0.166108023845197,0.00310022890669188,0.107103293121603,0.251654399447064,0.369528507219842,0.222594844901736,0.0780339723306922,0.293115951372871,0.281274618471562,0.352299944521623,0.0524316110707461,0.157566610807349,0.392044621556713,0.260046072542649,0.276131937500172,0.403030323165313,0.344240637118923,0.382241384970664,0.363619344308043,0.164321525680215,0.252829331872382,0.334660099240217,0.242712547846297
"Item_6",0.363922590209887,1,0.155529035190978,0.293421412006207,0.324738949268624,0.403750092713073,0.208140444306401,0.345773352543545,0.238044212609905,0.0585226571120671,0.200580146544588,0.258219543043988,0.0822074063021322,-0.06151199937125,-0.110960954312216,-0.0475556384980639,0.133436786542904,0.225387043751772,0.139999727527553,0.0620790508934348,0.158200351083951,0.106306295291,0.146234475090139,-0.0314699082194491,0.0668667159087615,0.492727680299716,0.141888649861442,0.181033451931369,0.34804897116998,0.238621672899958,0.369430778638266,0.170257064656803,0.0492806230187663,0.0169766773625976,0.266331182951352,-0.0259698839435271
"Item_7",0.297198700924647,0.155529035190978,1,0.252778909927832,0.353395266945905,0.283998074221827,0.394707268658764,0.106568386748034,0.153444721121511,0.145165034497362,0.189559500851905,0.215098749218559,0.222416965289791,0.178529645095751,0.0502468926172942,0.145642011798821,0.210187009302988,0.247682732215871,0.149341946039881,0.123814520820685,0.183870212454516,0.296498737245038,0.123579668921786,0.0306986723196822,0.223071340373364,0.131258761973651,0.287569937756456,0.115405467910977,0.225587300599784,0.107223459217027,0.159168402404177,0.0933953193224049,0.116405142238382,0.104387393307643,0.225683244053369,0.125735479375095
"Item_8",0.52152080079155,0.293421412006207,0.252778909927832,1,0.557325787342402,0.823148438099282,0.346486854408887,0.398463243953623,0.496017360365637,0.204533983604238,0.472210167189858,0.505406716107157,0.216835810391618,0.166354216312149,0.131686191930348,0.260240881186909,0.34426175134669,0.430803008936807,0.283727143369894,0.226875321653421,0.31808584106158,0.291459062544461,0.463702354181395,0.269016150525454,0.344743132749899,0.47286361144972,0.343109919181546,0.487206218529736,0.446482752458505,0.468097928881503,0.52252972879158,0.53765022011297,0.300812402999209,0.136145566972646,0.486560443458092,0.0753864553111805
"Item_17",0.387666872365908,0.324738949268624,0.353395266945905,0.557325787342402,1,0.56413580200733,0.526446421503885,0.228102994189498,0.466778907984485,0.193939218021251,0.459535050834437,0.566491739218393,0.245044395799103,0.258412063360015,0.055641972830768,0.236538199347432,0.385271600320795,0.522292273762972,0.315242612195467,0.241923613524137,0.342831993206141,0.383304626855558,0.413079469097846,0.200327524096579,0.347031528111557,0.359313025125525,0.354405457175985,0.332385182757897,0.421090736265523,0.391383513932442,0.410023696954226,0.379832773002579,0.29359674470592,0.10112507900973,0.425055876565038,0.0606495085722427
"Item_18",0.524944206784237,0.403750092713073,0.283998074221827,0.823148438099282,0.56413580200733,1,0.429530945489609,0.409631817839136,0.533970078846969,0.256308309291811,0.507225041215597,0.544915232578216,0.216902235541322,0.199765568268118,0.121236604753864,0.260193867923995,0.335810263036635,0.545415741825269,0.344596935334152,0.231429853715281,0.369993198965906,0.327244095037756,0.499971949849061,0.228639735033669,0.352966680938024,0.519323953959015,0.404437972424487,0.517441278771133,0.471400564085943,0.500802087185343,0.542663463993599,0.520057725754459,0.2454031167528,0.16175279481445,0.482537944996611,0.0947781577929126
"Item_19",0.3358298177148,0.208140444306401,0.394707268658764,0.346486854408887,0.526446421503885,0.429530945489609,1,0.171071461021309,0.425234766094613,0.311047909614516,0.506876289839973,0.51868446350689,0.401016045165272,0.393896118190007,0.104196560299159,0.235648513918721,0.467684595143689,0.58243399598363,0.420062295005889,0.287040677761751,0.414110416274457,0.525674862590805,0.375843433449287,0.140049320051798,0.364412172240788,0.208564361099085,0.306224659777869,0.356281106301419,0.396824029618203,0.364091407460758,0.358097407636784,0.398125046748253,0.212451232197498,0.285909295276562,0.41750437875431,0.243897155442484
"Item_20",0.243938021021818,0.345773352543545,0.106568386748034,0.398463243953623,0.228102994189498,0.409631817839136,0.171071461021309,1,0.356529248135052,0.253925878016076,0.210480922963528,0.331014623981214,-0.0506433099218162,-0.0789866418217898,-0.010428859663103,0.0261790307194202,0.0905125314378997,0.264232786405313,0.069215016049868,-0.0027980780936511,0.110189948629065,0.15609044982641,0.342097731304453,0.327670876429211,0.0394699320403975,0.613910936053276,0.0892192213900305,0.304296662871261,0.329520670052232,0.418917688438495,0.510003528057763,0.294356326931445,0.0853472511797755,-0.160587993915715,0.209365549814422,-0.21583940854799
"Item_29",0.364759322506754,0.238044212609905,0.153444721121511,0.496017360365637,0.466778907984485,0.533970078846969,0.425234766094613,0.356529248135052,1,0.30558861428334,0.524471294629199,0.622354376726452,0.172411951154036,0.179100535452174,0.156646478072748,0.271521163798024,0.385494808947031,0.543635007916199,0.376763915397797,0.212643953943108,0.288211074939248,0.340994007502574,0.74944032803169,0.399297112703903,0.236490400135986,0.356710795462828,0.257411398757725,0.345050323400193,0.552621045483789,0.658407053994619,0.586279170311405,0.600993888128656,0.254349993328282,0.138666020689816,0.445321686222498,0.0967401253648099
"Item_30",0.196402434287397,0.0585226571120671,0.145165034497362,0.204533983604238,0.193939218021251,0.256308309291811,0.311047909614516,0.253925878016076,0.30558861428334,1,0.300471586250068,0.346759166239814,0.0459106335035899,0.0167893277497295,-0.0247417357522905,0.0391164353684614,0.0649882517556696,0.216416208457697,0.190434884613464,0.0654658938039527,0.238962780484814,0.331950057263716,0.281890522211524,0.330856163034774,0.000675298972077045,0.148474661205639,0.0310028057924713,0.183366067012254,0.211303660214879,0.430412425353336,0.25951206670426,0.355966611840003,0.0333167837954178,-0.0163183575118632,0.208123985730379,-0.0363221169451317
