"","Item_1","Item_3","Item_13","Item_16","Item_26","Item_28","Item_5","Item_8","Item_17","Item_18","Item_29","Item_32","Item_9","Item_10","Item_22","Item_23","Item_33","Item_34","Item_30","Item_31"
"Item_1",1,0.43225234244689,0.569543564856794,0.49040483697667,0.174211999043629,0.29148735601467,0.160789292694314,0.305247826029494,0.304495790786868,0.256268851403082,0.254305704179634,0.308934186747938,0.191102589350746,0.115640409530794,0.282687793493735,0.232553681350511,0.234935152185739,0.207701530840814,0.0237399852537223,0.204592833672482
"Item_3",0.43225234244689,1,0.476381508443509,0.495755497176854,0.344184234938722,0.463829212134139,0.3411534026637,0.489620322541252,0.42677892184004,0.483190991164947,0.442945461243647,0.478697106171407,0.320996309570209,0.160152742772404,0.417745940299789,0.31880206226493,0.250002656182883,0.296531185198927,0.205001290205616,0.35698158567339
"Item_13",0.569543564856794,0.476381508443509,1,0.522866283665512,0.14758329882994,0.322404503290587,0.165876197375709,0.362848854829287,0.368246628730299,0.381645927398582,0.260212766362185,0.32955483895438,0.356610999354418,0.375919740496469,0.401150295942867,0.3929325778831,0.287927508508204,0.288621588048023,0.0297976093921473,0.220027688619409
"Item_16",0.49040483697667,0.495755497176854,0.522866283665512,1,0.3213955226078,0.428057649944512,0.279895815150259,0.48951560976807,0.342831623433977,0.507030606320344,0.340354210759141,0.403433088407667,0.20011892181804,0.149205251546451,0.403217821593992,0.34627658857712,0.254461132504918,0.279473215667215,0.178063969324731,0.309282300850159
"Item_26",0.174211999043629,0.344184234938722,0.14758329882994,0.3213955226078,1,0.683306933379105,0.323603529039556,0.473171512550625,0.412531314855514,0.492732171471837,0.671061026198594,0.574086194064596,0.112746866029875,0.10004594619267,0.415091461205621,0.317496634897545,0.244217942280621,0.309203999377801,0.444073257816283,0.43205752537581
"Item_28",0.29148735601467,0.463829212134139,0.322404503290587,0.428057649944512,0.683306933379105,1,0.364910398841141,0.529810099304546,0.380346402501004,0.51356056834743,0.597284582263185,0.552012314498174,0.244956344260064,0.233515290012407,0.433450419725185,0.363066353791061,0.290744058006462,0.360667773132094,0.364197324816584,0.457247622905125
"Item_5",0.160789292694314,0.3411534026637,0.165876197375709,0.279895815150259,0.323603529039556,0.364910398841141,1,0.510378223165723,0.415452051023195,0.527427041593764,0.367841779468051,0.44255585049757,0.185270394015062,0.169744506279881,0.385635863522793,0.217836096189471,0.294413339674593,0.270227656576398,0.211780724404395,0.307243417591359
"Item_8",0.305247826029494,0.489620322541252,0.362848854829287,0.48951560976807,0.473171512550625,0.529810099304546,0.510378223165723,1,0.573342650872734,0.826683020878724,0.490980232816479,0.508783479565479,0.200360732245282,0.151253859749017,0.451379149505962,0.277714087454838,0.319054281931851,0.282239582794064,0.21911337735618,0.466806173250938
"Item_17",0.304495790786868,0.42677892184004,0.368246628730299,0.342831623433977,0.412531314855514,0.380346402501004,0.415452051023195,0.573342650872734,1,0.58436647904398,0.46575662267135,0.555918269422829,0.22696739187096,0.256336064699294,0.529210922198323,0.317795866736508,0.333560702101204,0.38984291515189,0.182166529595662,0.454328618765059
"Item_18",0.256268851403082,0.483190991164947,0.381645927398582,0.507030606320344,0.492732171471837,0.51356056834743,0.527427041593764,0.826683020878724,0.58436647904398,1,0.526603196528882,0.551684281530601,0.207997675270396,0.197751106786176,0.547540157758096,0.327091729544688,0.35462554568377,0.306322133666914,0.259223126912176,0.49350839068503
"Item_29",0.254305704179634,0.442945461243647,0.260212766362185,0.340354210759141,0.671061026198594,0.597284582263185,0.367841779468051,0.490980232816479,0.46575662267135,0.526603196528882,1,0.623242030953457,0.162695720121438,0.188185518163787,0.545618137888385,0.379013705070392,0.279333593197848,0.348020385051845,0.296849905497986,0.512286838257585
"Item_32",0.308934186747938,0.478697106171407,0.32955483895438,0.403433088407667,0.574086194064596,0.552012314498174,0.44255585049757,0.508783479565479,0.555918269422829,0.551684281530601,0.623242030953457,1,0.198146788071134,0.203175753156507,0.550342206230109,0.353285934271032,0.449046678075213,0.406938760679871,0.348865605331704,0.564574247295436
"Item_9",0.191102589350746,0.320996309570209,0.356610999354418,0.20011892181804,0.112746866029875,0.244956344260064,0.185270394015062,0.200360732245282,0.22696739187096,0.207997675270396,0.162695720121438,0.198146788071134,1,0.384594702908728,0.242407591308643,0.306695502257064,0.211704298175982,0.212451014384425,0.0332176691448216,0.243201550823762
"Item_10",0.115640409530794,0.160152742772404,0.375919740496469,0.149205251546451,0.10004594619267,0.233515290012407,0.169744506279881,0.151253859749017,0.256336064699294,0.197751106786176,0.188185518163787,0.203175753156507,0.384594702908728,1,0.331539456789243,0.294453283774989,0.147556932929939,0.159967933923075,0.0266841155186316,0.145110410596388
"Item_22",0.282687793493735,0.417745940299789,0.401150295942867,0.403217821593992,0.415091461205621,0.433450419725185,0.385635863522793,0.451379149505962,0.529210922198323,0.547540157758096,0.545618137888385,0.550342206230109,0.242407591308643,0.331539456789243,1,0.478618324409036,0.409698419183551,0.451611106158749,0.21360362986475,0.502899401855139
"Item_23",0.232553681350511,0.31880206226493,0.3929325778831,0.34627658857712,0.317496634897545,0.363066353791061,0.217836096189471,0.277714087454838,0.317795866736508,0.327091729544688,0.379013705070392,0.353285934271032,0.306695502257064,0.294453283774989,0.478618324409036,1,0.23052804579862,0.369177724508781,0.185551896712734,0.319179722579976
"Item_33",0.234935152185739,0.250002656182883,0.287927508508204,0.254461132504918,0.244217942280621,0.290744058006462,0.294413339674593,0.319054281931851,0.333560702101204,0.35462554568377,0.279333593197848,0.449046678075213,0.211704298175982,0.147556932929939,0.409698419183551,0.23052804579862,1,0.44206635109586,0.234693509274414,0.526263739795388
"Item_34",0.207701530840814,0.296531185198927,0.288621588048023,0.279473215667215,0.309203999377801,0.360667773132094,0.270227656576398,0.282239582794064,0.38984291515189,0.306322133666914,0.348020385051845,0.406938760679871,0.212451014384425,0.159967933923075,0.451611106158749,0.369177724508781,0.44206635109586,1,0.324929043425389,0.490945286003567
"Item_30",0.0237399852537223,0.205001290205616,0.0297976093921473,0.178063969324731,0.444073257816283,0.364197324816584,0.211780724404395,0.21911337735618,0.182166529595662,0.259223126912176,0.296849905497986,0.348865605331704,0.0332176691448216,0.0266841155186316,0.21360362986475,0.185551896712734,0.234693509274414,0.324929043425389,1,0.284580429369892
"Item_31",0.204592833672482,0.35698158567339,0.220027688619409,0.309282300850159,0.43205752537581,0.457247622905125,0.307243417591359,0.466806173250938,0.454328618765059,0.49350839068503,0.512286838257585,0.564574247295436,0.243201550823762,0.145110410596388,0.502899401855139,0.319179722579976,0.526263739795388,0.490945286003567,0.284580429369892,1
