Condition4,Substantive,Attitudinal
I知 able to concentrate on my work without distractions,Absorption,Cognitive
I devote my full attention to my work tasks throughout the day,Vigor,Cognitive
I plan my future with this company.,Dedicattion,Cognitive
I have a hard time detaching mentally from my work,Absorption,Cognitive
Thinking about work saps my energy (r),Vigor,Cognitive
I believe this company cares about my career goals,Dedicattion,Cognitive
Time passes quickly while I知 working,Absorption,Cognitive
I would rather direct my focus toward a work task than a personal task,Vigor,Cognitive
I often think about finding another job (r),Dedicattion,Cognitive
I find it difficult to mentally disconnect from work,Absorption,Cognitive
I知 able to maintain good levels of energy throughout the workday,Vigor,Cognitive
This organization challenges me to work at my full potential,Dedicattion,Cognitive
I enjoy thinking about work even when I知 not at work,Absorption,Affective
I enjoy spending time completing my job tasks.,Vigor,Affective
I am proud to be a member of this organization.,Dedicattion,Affective
"Most days, I feel happiest when the workday is soon to be complete (r)",Absorption,Affective
Most days I feel enthusiastic about starting my work day.,Vigor,Affective
I feel supported by my supervisor when I fail at a task,Dedicattion,Affective
I am happiest when I am immersed in a project,Absorption,Affective
I feel motivated to go beyond what is asked of me,Vigor,Affective
I feel proud of my accomplishments within this organization,Dedicattion,Affective
I love starting my workday.,Absorption,Affective
This job drains my energy (r),Vigor,Affective
My job makes me feel like I知 part of something meaningful,Dedicattion,Affective
I devote more time than is expected of me.,Absorption,Behavioral
When work is slow I find ways to be productive.,Vigor,Behavioral
I make valued contributions to the organization,Dedicattion,Behavioral
I have to be reminded to take breaks while I知 at work,Absorption,Behavioral
I express enthusiasm for my job while at work,Vigor,Behavioral
I embrace challenging situations at work.,Dedicattion,Behavioral
I never miss a work deadline.,Absorption,Behavioral
I try my best to perform well at work,Vigor,Behavioral
I speak positively about this organization to others.,Dedicattion,Behavioral
I never allow distractions to interfere with my work,Absorption,Behavioral
"If I notice my energy level is low, I take corrective steps to re-energize.",Vigor,Behavioral
This organization provides the resources necessary for me to successfully perform my job,Dedicattion,Behavioral
